barcode,name,price,gst_percent,hsn_code,weight_grams,quantity
8906010500153,Balaji Banana Wafer Mast Mari,10.0,12.0,21069099,27,100
8906010500016,Balaji Crunchem Simply Salted,10.0,12.0,21069099,32,100
8906010504625,Balaji Gippi Tornado,10.0,12.0,21069099,20,100
1004,Chana Dal Balaji,10.0,12.0,21069099,50.0,100
1005,Funne Balaji,10.0,12.0,21069099,50.0,100
1006,Gokul Nylon Gathiya,10.0,12.0,21069099,50.0,100
8908000861008,Gopal Masala Cup,10.0,12.0,21069099,22,100
1008,Mug Dal Balaji,10.0,12.0,21069099,50.0,100
1009,Sticks Gopal,10.0,12.0,21069099,50.0,100
8906010500900,Wheels Balaji,10.0,12.0,21069099,22.0,100
